PX,Main,Midblock Route,Side 1 Route,Side 2 Route,Activation Date,latitude,longitude,Count Date,8HrVehVol,8HrPedVol
498,ST CLAIR AVE E,,AVOCA AVE,,25-Sep-1968,43.68896,-79.389878,5/15/2013,12494,975
500,LAWRENCE AVE W,,HICKORY TREE RD,LITTLE AVE,16-Jan-1967,43.69929,-79.51986,6/11/2013,13616,389
507,YONGE ST,,ROSEHILL AVE,,23-Feb-1967,43.68623,-79.39331,5/15/2013,14736,5086
509,BLOOR ST W,,BRUNSWICK AVE,,14-Nov-1967,43.66591,-79.40743,8/15/2013,8679,5923
511,DUNDAS ST W,,PAULART DR,PRIVATE ACCESS,25-Jul-1975,43.63107,-79.5469,2/19/2013,22100,243
512,VICTORIA PARK AVE,,CASSANDRA BLVD,,13-Jul-1967,43.75434,-79.314,8/26/2013,19811,484
513,VICTORIA PARK AVE,,BASSETT AVE,YARDLEY AVE,29-Jun-1965,43.7138,-79.29804,10/15/2013,10590,302
514,VICTORIA PARK AVE,,ELVASTON DR,,06-Oct-1964,43.73041,-79.30498,9/25/2013,13624,493
515,VICTORIA PARK AVE,,SURREY AVE,,06-Apr-1964,43.7363,-79.30739,8/28/2013,23282,238
516,VICTORIA PARK AVE,,CURLEW DR,LYNVALLEY CRES,31-Aug-1962,43.74798,-79.3118,1/29/2013,19147,502
517,VICTORIA PARK AVE,,ELLESMERE RD,PARKWOODS VILLAGE DR,25-Apr-1960,43.75788,-79.31522,9/3/2013,33693,3766
518,VICTORIA PARK AVE,,YORK MILLS RD,,13-May-1963,43.76303,-79.31751,8/21/2013,26765,537
525,JANE ST,,ALLIANCE AVE,PRIVATE ACCESS,10-Nov-1961,43.67623,-79.49565,12/3/2013,14356,568
528,WESTON RD,,JANE ST,,31-Jan-1958,43.69132,-79.50088,4/25/2013,25124,3481
532,WILSON AVE,,JANE ST,,31-Jan-1958,43.72091,-79.50861,10/7/2013,29993,4795
534,FINCH AVE W,,JANE ST,,16-Dec-1964,43.75727,-79.51776,10/15/2013,33828,7612
538,KING ST W,,STRACHAN AVE,,06-Nov-1941,43.64205,-79.41194,12/5/2013,13533,4681
539,KING ST W,,DUFFERIN ST,,20-Aug-1929,43.63897,-79.42736,6/3/2013,12236,3710
539,KING ST W,,DUFFERIN ST,,20-Aug-1929,43.63897,-79.42736,12/5/2013,12512,5559
540,KING ST W,,JAMESON AVE,,19-Jun-1956,43.63718,-79.43602,12/5/2013,14234,4317
545,QUEEN ST E,,CARLAW AVE,,10-Dec-1948,43.66108,-79.34007,4/22/2013,12361,3128
547,QUEEN ST E,,LESLIE ST,,15-Feb-1951,43.66327,-79.33021,5/6/2013,8546,1685
555,QUEEN ST W,,OSSINGTON AVE,,19-Apr-1960,43.64421,-79.41885,3/14/2013,11628,4053
564,THE QUEENSWAY,,PARK LAWN RD,,31-Jan-1958,43.62906,-79.49031,6/22/2013,22123,231
566,THE QUEENSWAY,,TAYMALL AVE,WADSWORTH CRES,03-Aug-1995,43.62534,-79.50722,10/5/2013,18206,376
566,THE QUEENSWAY,,TAYMALL AVE,WADSWORTH CRES,03-Aug-1995,43.62534,-79.50722,10/15/2013,22298,448
568,THE QUEENSWAY,,KIPLING AVE,,31-Jan-1958,43.62098,-79.52673,11/4/2013,35402,323
580,WESTON RD,,DENISON RD E,DENISON RD W,31-Jan-1958,43.69624,-79.50817,4/22/2013,6704,458
581,WESTON RD,,JOHN ST,,10-Feb-1959,43.70063,-79.51777,4/23/2013,6855,1228
583,WESTON RD,,CHURCH ST,,31-Jan-1958,43.70304,-79.52536,4/22/2013,9201,721
584,WESTON RD,,ST PHILLIPS RD,,01-Jan-1963,43.70635,-79.53229,4/29/2013,13417,242
587,ALBION RD,,WESTON RD,WALSH AVE,18-Dec-1957,43.71697123,-79.53748681,5/27/2013,17212,863
589,WESTON RD,,FINCH AVE W,,14-Oct-1964,43.7521,-79.54242,2/21/2013,33275,3092
604,O CONNOR DR,40m SOUTH OF,WAKUNDA PL,,05-Feb-1968,43.71562,-79.305035,3/7/2013,10868,637
619,STEELES AVE W,,DUFFERIN ST,,14-Aug-1968,43.7872672,-79.470123,10/23/2013,42612,3345
627,SHEPPARD AVE E,,DON MILLS RD,,01-Apr-1964,43.7750865,-79.34703,6/5/2013,38172,1531
635,LAWRENCE AVE W,,PINE ST,,08-Dec-1968,43.7019656,-79.508309,6/10/2013,12971,1511
642,DONLANDS AVE,,MILLWOOD RD,PAPE AVE,01-Jan-1962,43.69721,-79.34914,3/19/2013,15306,42
648,SHEPPARD AVE E,,BAYVIEW AVE,,30-Sep-1968,43.7666244,-79.388044,6/25/2013,46933,1816
649,BAYVIEW AVE,,CITATION DR,EMPRESS AVE,14-Jan-1966,43.7743467,-79.389797,6/13/2013,20748,303
650,BAYVIEW AVE,,FINCH AVE E,,03-Dec-1962,43.7849891,-79.392235,10/8/2013,36380,5473
652,STEELES AVE E,,BAYVIEW AVE,,01-Mar-1966,43.8032514,-79.396314,5/14/2013,38794,259
657,COXWELL AVE,,SAMMON AVE,,21-Mar-1960,43.68882,-79.325838,2/20/2013,8854,1658
663,DONLANDS AVE,,MORTIMER AVE,,07-Aug-1959,43.6876049,-79.340228,2/14/2013,12339,712
665,WOODBINE AVE,,COSBURN AVE,,31-Jan-1958,43.6964341,-79.31742,2/21/2013,13743,878
666,COXWELL AVE,,COSBURN AVE,,31-Jan-1958,43.6941379,-79.328003,2/11/2013,12553,1605
675,BATHURST ST,,FINCH AVE W,,20-Mar-1962,43.7738567,-79.442978,10/8/2013,31685,1011
694,WARDEN AVE,,ELLESMERE RD,,09-Jun-1963,43.76127,-79.30072,10/24/2013,37565,526
696,KENNEDY RD,,ELLESMERE RD,,02-Jan-1960,43.76587,-79.28109,10/24/2013,47002,3375
701,MARKHAM RD,,SHEPPARD AVE E,,27-Apr-1964,43.7939,-79.23876,2/21/2013,37075,1379
705,ISLINGTON AVE,,NORSEMAN ST,,01-Jan-1958,43.63421,-79.5191,4/15/2013,19564,856
717,ISLINGTON AVE,,ALBION RD,,31-Jan-1958,43.73727,-79.56531,8/7/2013,26819,1162
723,ALBION RD,,ELMHURST DR,,01-Jun-1969,43.72514,-79.55051,1/30/2013,14212,260
